2014-03-31 | 04:00:01 | (Log)     | set state: 3.
2014-03-31 | 04:00:01 | (Log)     | set state: 4.
2014-03-31 | 04:00:02 | (Log)     | set state: 1.
2014-03-31 | 04:00:13 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:16 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:17 | (Log)     | set state: 1.
2014-03-31 | 04:00:18 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:35 | (Log)     | Reset by watchdog.
2014-03-31 | 04:00:37 | (Log)     | goToState() - restore from state 2.
2014-03-31 | 04:00:37 | (Log)     | set state: 0.
2014-03-31 | 04:00:37 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:15 | (Log)     | set state: 2.
2014-03-31 | 04:00:15 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:15 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:16 | (Log)     | set state: 3.
2014-03-31 | 04:00:16 | (Log)     | set state: 4.
2014-03-31 | 04:00:17 | (Log)     | set state: 1.
2014-03-31 | 04:00:22 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:30 | (Log)     | set state: 2.
2014-03-31 | 04:00:30 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:30 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:31 | (Log)     | set state: 3.
2014-03-31 | 04:00:31 | (Log)     | set state: 4.
2014-03-31 | 04:00:32 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:00:32 | (Log)     | set state: 1.
2014-03-31 | 04:00:45 | (Log)     | set state: 2.
2014-03-31 | 04:00:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:45 | (Log)     | set state: 3.
2014-03-31 | 04:00:46 | (Log)     | set state: 4.
2014-03-31 | 04:00:47 | (Log)     | set state: 1.
2014-03-31 | 04:00:48 | (Log)     | Inserting 100 faults:
2014-03-31 | 04:01:05 | (Log)     | Reset by watchdog.
2014-03-31 | 04:01:07 | (Log)     | goToState() - restore from state 1.
2014-03-31 | 04:01:07 | (Log)     | set state: 0.
2014-03-31 | 04:01:08 | (Log)     | config() - initializing configuration.
2014-03-31 | 04:00:00 | (Log)     | config() - successfully configured.
2014-03-31 | 04:00:00 | (Log)     | set state: 1.
2014-03-31 | 04:00:00 | (Log)     | set state: 2.
2014-03-31 | 04:00:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:00:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:00:01 | (Log)     | set state: 3.
